hole1,hole2,max,min,mean,25%,50%,75%,var,stat
C7,CT,150,10,65.400000000000006,35.75,69.5,73.0,1729.0400000000002,41.581726755871983
C7,CJ,151,11,45.899999999999999,12.75,18.0,78.0,2115.0899999999997,45.99010763196798
C7,CQ,153,12,82.700000000000003,47.0,72.0,115.5,2055.8100000000004,45.341041011428054
C7,CK,153,13,39.100000000000001,20.0,27.5,39.5,1547.0900000000001,39.333064970835927
C7,DA,76,14,28.600000000000001,14.0,17.5,40.25,377.03999999999996,19.41751786403195
C7,D2,73,7,22.600000000000001,7.0,8.0,28.5,607.83999999999992,24.654411369975961
C7,D3,91,7,45.5,32.0,35.0,69.75,763.85000000000002,27.63783638420345
C7,D4,179,7,47.600000000000001,14.0,35.0,56.0,2372.8400000000001,48.71180555060549
C7,D5,180,12,63.0,17.25,51.5,84.5,2696.5999999999999,51.92879740567848
C7,D6,72,7,34.799999999999997,13.0,34.0,57.25,596.36000000000001,24.420483205702546
